bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade
19,(EF07CO09),(EF07CO09) Reconhecer e debater sobre cyberbullying.,1492,(EF89LP02),0.5592668
20,(EF07CO10),"(EF07CO10) Identificar os impactos ambientais do descarte de peças de computadores e eletrônicos, bem como sua relação com a sustentabilidade",175,(EF07CI03A),0.67698556
21,(EF07CO11),"(EF07CO11) Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia.",1284,(EF89LP02),0.70081973
21,(EF07CO11),"(EF07CO11) Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia.",1373,(EF89LP02),0.70081973
21,(EF07CO11),"(EF07CO11) Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia.",1492,(EF89LP02),0.70081973
22,(EF08CO01),(EF08CO01) Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,1540,(EF89LP29AX),0.67932177
22,(EF08CO01),(EF08CO01) Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,580,(EF89LP29AX),0.67068434
22,(EF08CO01),(EF08CO01) Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,342,(EF89LP29AX),0.6706544
22,(EF08CO01),(EF08CO01) Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,343,(EF89LP29AX),0.6706544
22,(EF08CO01),(EF08CO01) Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,1287,(EF89LP29AX),0.6706544
22,(EF08CO01),(EF08CO01) Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,1444,(EF89LP29AX),0.6706544
23,(EF08CO02),"(EF08CO02) Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema.",1540,(EF89LP29AX),0.70985985
23,(EF08CO02),"(EF08CO02) Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema.",342,(EF89LP29AX),0.7003332
23,(EF08CO02),"(EF08CO02) Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema.",343,(EF89LP29AX),0.7003332
23,(EF08CO02),"(EF08CO02) Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema.",1287,(EF89LP29AX),0.7003332
23,(EF08CO02),"(EF08CO02) Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema.",1444,(EF89LP29AX),0.7003332
24,(EF08CO03),(EF08CO03) Utilizar algoritmos clássicos de manipulação sobre listas.,818,(EF06CI18ME),0.5738753
25,(EF08CO04),"(EF08CO04) Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",924,(EF89EF03P4),0.6530129
26,(EF08CO05),"(EF08CO05) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",934,(EF89EF16),0.73129636
26,(EF08CO05),"(EF08CO05) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",423,(EF09HI06),0.7305007
27,(EF08CO06),(EF08CO06) Entender como é a estrutura e funcionamento da internet.,970,(EF06GE14MEX),0.6826413
28,(EF08CO07),"(EF08CO07) Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética.",1284,(EF89LP02),0.8045405
28,(EF08CO07),"(EF08CO07) Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética.",1373,(EF89LP02),0.8045405
28,(EF08CO07),"(EF08CO07) Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética.",1492,(EF89LP02),0.8045405
29,(EF08CO08),(EF08CO08) Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.,1284,(EF89LP02),0.7115253
29,(EF08CO08),(EF08CO08) Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.,1373,(EF89LP02),0.7115253
29,(EF08CO08),(EF08CO08) Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.,1492,(EF89LP02),0.7115253
30,(EF08CO09),(EF08CO09) Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.,1284,(EF89LP02),0.7457252
30,(EF08CO09),(EF08CO09) Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.,1373,(EF89LP02),0.7457252
30,(EF08CO09),(EF08CO09) Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.,1492,(EF89LP02),0.7457252
31,(EF08CO10),(EF08CO10) Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.,1284,(EF89LP02),0.73692346
31,(EF08CO10),(EF08CO10) Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.,1373,(EF89LP02),0.73692346
