bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade,nota_corte_usada
17,(EF07CO07),(EF07CO07) Identificar problemas de segurança cibernética e experimentar formas de proteção.,970,(EF06GE14MEX),0.5297837,0.5799999999999996
18,(EF07CO08),(EF07CO08) Demonstrar empatia sobre opiniões divergentes na web.,696,(EF69AR09XP2),0.6149333,0.6099999999999997
18,(EF07CO08),(EF07CO08) Demonstrar empatia sobre opiniões divergentes na web.,159,(EF67LP12X),0.6068507,0.6099999999999997
18,(EF07CO08),(EF07CO08) Demonstrar empatia sobre opiniões divergentes na web.,929,(EF89EF24ME),0.5627698,0.6099999999999997
19,(EF07CO09),(EF07CO09) Reconhecer e debater sobre cyberbullying.,949,(EF09ER02X),0.51396203,0.5099999999999996
19,(EF07CO09),(EF07CO09) Reconhecer e debater sobre cyberbullying.,428,(EF09LI03),0.47890115,0.5099999999999996
19,(EF07CO09),(EF07CO09) Reconhecer e debater sobre cyberbullying.,13,(EF67LP23AX),0.46412346,0.5099999999999996
20,(EF07CO10),"(EF07CO10) Identificar os impactos ambientais do descarte de peças de computadores e eletrônicos, bem como sua relação com a sustentabilidade",175,(EF07CI03A),0.67698556,0.6699999999999997
20,(EF07CO10),"(EF07CO10) Identificar os impactos ambientais do descarte de peças de computadores e eletrônicos, bem como sua relação com a sustentabilidade",176,(EF07CI03B),0.65378314,0.6699999999999997
21,(EF07CO11),"(EF07CO11) Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia.",163,(EF67LP11X),0.6436413,0.6399999999999997
21,(EF07CO11),"(EF07CO11) Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia.",1257,(EF89LP13B),0.6384392,0.6399999999999997
21,(EF07CO11),"(EF07CO11) Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia.",1635,(EF09LI05),0.5864628,0.6399999999999997
22,(EF08CO01),(EF08CO01) Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,1383,(EF89LP31CX),0.62034565,0.6199999999999997
22,(EF08CO01),(EF08CO01) Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,1241,(EF67LP19),0.6099708,0.6199999999999997
